"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.970561213E1,-4.646131396E-2,-1.923332214E-1,6.146943569E-2
2.973030085E1,-1.520735025E-2,1.654367447E-1,4.017114639E-3
2.975498957E1,-1.120984554E-2,4.278049469E-1,-5.575776100E-3
2.977967829E1,5.032142997E-2,6.502971649E-1,-6.950652599E-2
2.980439753E1,5.718195438E-2,8.259611130E-1,-1.136763096E-1
2.982908625E1,7.949686050E-2,8.645458221E-1,-1.187735796E-1
2.985374445E1,4.502162337E-2,8.144769669E-1,-1.283333302E-1
2.987846369E1,4.653233290E-2,6.693887711E-1,-8.737123013E-2
2.990315241E1,4.734417796E-2,4.440708160E-1,-7.005429268E-2
2.992784113E1,3.658947349E-2,1.199865341E-1,-3.614580631E-2
2.995252985E1,2.102416754E-2,-1.471624374E-1,2.845072746E-2
2.997724909E1,1.114106178E-2,-4.219188690E-1,2.369630337E-2
3.000190730E1,2.556824684E-2,-6.901979446E-1,7.593905926E-2
3.002662653E1,5.206534266E-2,-8.136444092E-1,6.124842167E-2
3.005128474E1,1.574820280E-2,-8.526439667E-1,5.357444286E-2
3.007597346E1,2.657589316E-2,-8.100280762E-1,3.208351135E-2
3.010069270E1,2.616408467E-2,-6.746530533E-1,5.633056164E-2
3.012538142E1,2.884179354E-3,-4.398279190E-1,1.841795444E-2
3.015007014E1,1.163980365E-2,-1.513910294E-1,-4.950666428E-2
3.017478938E1,5.712065101E-2,1.332025528E-1,-3.461420536E-2
3.019944758E1,8.953881264E-2,4.233884811E-1,-9.930467606E-2
3.022416682E1,8.172914386E-2,6.524333954E-1,-1.066524982E-1
3.024885554E1,1.047316492E-1,7.898168564E-1,-1.451786757E-1
3.027354426E1,1.189352870E-1,8.359127045E-1,-1.760556698E-1
3.029823298E1,1.239663064E-1,7.865209579E-1,-1.542544365E-1
3.032295222E1,9.973081946E-2,6.421899796E-1,-1.159406900E-1
3.034761042E1,9.879168868E-2,3.962516785E-1,-1.048613787E-1
3.037232966E1,6.571301818E-2,1.112365723E-1,-6.910741329E-2
3.039701838E1,3.326544166E-2,-2.030982971E-1,4.595994949E-3
3.042170710E1,-2.971065044E-2,-4.486370087E-1,2.032935619E-2
3.044639582E1,-4.589685798E-2,-6.855363846E-1,8.287155628E-2
3.047108454E1,-9.898975492E-2,-7.992248535E-1,6.295812130E-2
3.049577326E1,-8.064857125E-2,-8.452987671E-1,1.181383133E-1
3.052046198E1,-1.109668016E-1,-7.836284637E-1,1.105881929E-1
3.054518122E1,-1.017618179E-1,-6.052904129E-1,8.070039749E-2
3.056983942E1,-8.058625460E-2,-3.634853363E-1,6.707012653E-2
3.059455866E1,-6.245627999E-2,-9.680271149E-2,5.585932732E-2
3.061924738E1,-4.520106316E-2,2.302541733E-1,-5.738377571E-3
3.064393610E1,5.114078522E-5,5.053062439E-1,-1.142179966E-2
3.066865534E1,3.277343512E-2,6.973457336E-1,-2.181184292E-2
3.069331355E1,9.794592857E-3,8.401050568E-1,-5.268824100E-2
3.071803278E1,4.885959625E-2,8.768320084E-1,-7.303321362E-2
3.074272150E1,1.922428608E-2,7.673597336E-1,-3.824698925E-2
3.076741023E1,-5.160421133E-2,6.103858948E-1,-1.571106911E-2
3.079209895E1,-7.738316059E-2,3.634767532E-1,-6.698131561E-3
3.081678767E1,-1.103910804E-1,7.718563080E-2,3.923165798E-2
3.084150690E1,-1.288193166E-1,-2.027139664E-1,8.495891094E-2
3.086616511E1,-1.461311579E-1,-4.763326645E-1,1.472654343E-1
3.089088435E1,-1.272438467E-1,-6.481542587E-1,1.589679718E-1
3.091554255E1,-1.374829412E-1,-7.809057236E-1,1.731883287E-1
3.094026179E1,-1.336093843E-1,-8.104457855E-1,1.610050201E-1
3.096495051E1,-9.870874882E-2,-7.134389877E-1,1.544065475E-1
3.098963923E1,-9.912362695E-2,-5.408363342E-1,1.013238430E-1
3.101432795E1,-4.802814126E-2,-2.880945206E-1,7.434618473E-2
3.103904719E1,-5.206111073E-2,-5.143642426E-2,7.591080666E-2
3.106373591E1,1.392033696E-2,2.454671860E-1,2.836346626E-3
3.108842463E1,2.871358395E-2,4.881057739E-1,-2.360999584E-2
3.111311335E1,6.041705608E-2,6.981725693E-1,-9.214556217E-2
3.113783259E1,7.829150558E-2,8.114795685E-1,-7.192742825E-2
3.116252131E1,7.008102536E-2,8.262615204E-1,-1.439670324E-1
3.118721003E1,5.527207255E-2,7.623729706E-1,-1.077339649E-1
3.121189875E1,4.679110646E-2,5.317993164E-1,-1.024340391E-1
3.123658747E1,1.294627786E-2,3.002710342E-1,-4.661822319E-2
3.126127619E1,5.838581920E-2,5.834579468E-3,-5.321514606E-2
3.128599543E1,1.247519255E-2,-2.627983093E-1,-1.143753529E-2
3.131068415E1,2.697232366E-2,-5.296344757E-1,2.023088932E-2
3.133537287E1,1.553729177E-2,-7.255239487E-1,3.739738464E-2
3.136006159E1,3.306546807E-2,-8.367433548E-1,4.004848003E-2
3.138475031E1,2.170905471E-2,-8.181219101E-1,5.982196331E-2
3.140940852E1,3.526970744E-2,-7.303409576E-1,1.755058765E-2
3.143412775E1,6.400138140E-3,-5.762338638E-1,3.784358501E-2
3.145881648E1,3.794556856E-2,-3.083448410E-1,-2.927577496E-2
3.148353571E1,3.181329370E-2,-3.699111938E-2,-3.775513172E-2
3.150819392E1,6.739962101E-2,2.209167480E-1,-7.107043266E-2
3.153291315E1,7.593372464E-2,5.132646561E-1,-1.241952181E-1
3.155760188E1,9.758979082E-2,7.017602921E-1,-1.551020145E-1
3.158229060E1,9.316456318E-2,8.130559921E-1,-1.332554817E-1
3.160697932E1,1.124981344E-1,7.878017426E-1,-1.447978020E-1
3.163166804E1,1.474163830E-1,7.127695084E-1,-1.112626791E-1
3.165635676E1,9.835720062E-2,5.380525589E-1,-1.309331656E-1
3.168104548E1,8.467069268E-2,2.547073364E-1,-8.508014679E-2
3.170573420E1,5.555224419E-2,1.118564606E-2,-3.471910954E-2
3.173042292E1,-1.909974217E-2,-2.928304672E-1,2.005541325E-2
3.175514216E1,-3.257775307E-2,-5.425653458E-1,5.226600170E-2
3.177983088E1,-7.955724001E-2,-7.073011398E-1,1.074310541E-1
3.180455012E1,-1.113047600E-1,-8.016538620E-1,1.251463890E-1
3.182920832E1,-1.384519637E-1,-8.143224716E-1,1.300008297E-1
3.185389704E1,-1.186013818E-1,-7.003269196E-1,1.003707647E-1
3.187861628E1,-9.891098738E-2,-5.106019974E-1,1.084753275E-1
3.190330500E1,-1.040875316E-1,-2.503614426E-1,6.573283672E-2
3.192799372E1,-4.934105277E-2,3.701972961E-2,3.979849815E-2
3.195268244E1,-3.238976002E-2,3.370170593E-1,3.583037853E-2
3.197737116E1,1.893472672E-2,5.658092499E-1,-3.262877464E-2
3.200205988E1,1.092147827E-2,7.452106476E-1,-2.391827106E-2
3.202674860E1,1.614534855E-2,8.302860260E-1,-6.920349598E-2
3.205146784E1,1.916873455E-2,8.453569412E-1,-5.444228649E-2
3.207615656E1,3.422665596E-2,6.904115677E-1,-6.426572800E-2
3.210084528E1,-4.616349936E-2,5.002222061E-1,-3.870415688E-2
3.212553400E1,-6.090360880E-2,2.082099915E-1,2.798449993E-2
3.215022272E1,-1.291609108E-1,-4.174709320E-2,5.202484131E-2
3.217494196E1,-1.402115226E-1,-3.117303848E-1,8.281934261E-2
3.219960017E1,-1.174457967E-1,-5.277414322E-1,1.017048359E-1
3.222428889E1,-1.232066751E-1,-7.043991089E-1,1.472625732E-1
3.224900812E1,-1.169934571E-1,-7.990036011E-1,1.568875313E-1
3.227366633E1,-1.180528402E-1,-7.739839554E-1,1.669352055E-1
3.229838557E1,-7.585701346E-2,-6.489048004E-1,1.447794437E-1
3.232307429E1,-6.364935637E-2,-4.530553818E-1,1.006244421E-1
3.234776301E1,-5.732327700E-2,-2.227811813E-1,7.991158962E-2
3.237248225E1,-4.239082336E-4,9.674930573E-2,-7.683396339E-3
3.239717097E1,1.189723611E-2,3.308267593E-1,-2.035152912E-2
3.242185969E1,6.896877289E-2,5.465631485E-1,-6.346416473E-2
3.244654841E1,6.353095174E-2,7.012796402E-1,-9.884548187E-2
3.247123713E1,8.221271634E-2,8.169298172E-1,-1.024279594E-1
3.249595637E1,5.754482746E-2,7.697601318E-1,-1.074023247E-1
3.252061457E1,7.338815928E-2,6.608524323E-1,-1.000643969E-1
3.254530329E1,4.034510255E-2,4.619989395E-1,-6.333541870E-2
3.256999201E1,4.837855697E-2,2.024860382E-1,-8.623075485E-2
3.259471125E1,4.215863347E-2,-9.341335297E-2,-2.958810329E-2
3.261939997E1,4.197606444E-2,-3.588113785E-1,4.369020462E-4
3.264408869E1,4.255002737E-2,-5.890245438E-1,5.212128162E-2
3.266880793E1,6.524547935E-2,-7.485628128E-1,3.977251053E-2
3.269346613E1,4.967871308E-2,-7.827997208E-1,5.378425121E-2
3.271815485E1,2.623081207E-2,-7.905340195E-1,4.853880405E-2
3.274287409E1,3.733336926E-2,-6.598176956E-1,5.309033394E-2
